id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
2481457,2481457,481457 (2006 XD2),21.11,0.1594244681,0.3564839479,True,2024-05-07,32286.8711562483,0.2027394097,30329383.856177337,78.8656303733,Earth
3458580,3458580,(2009 HV44),18.92,0.437074004,0.9773271842,False,2024-05-07,71938.5463055182,0.2559889384,38295399.928201206,99.5796970376,Earth
3752787,3752787,(2016 JE6),24.28,0.0370301078,0.0828018383,False,2024-05-07,67725.6489036256,0.1609297308,24074744.947353397,62.6016652812,Earth
3774003,3774003,(2017 HS),21.28,0.1474195145,0.3296400556,False,2024-05-07,69547.6414466968,0.2730477988,40847369.10866856,106.2155937332,Earth
3841905,3841905,(2019 JF7),24.97,0.0269497646,0.0602615057,False,2024-05-07,60342.0987500194,0.306347263,45828898.02512981,119.169085307,Earth
54076933,54076933,(2020 UV5),22.49,0.0844413128,0.1888165155,False,2024-05-07,34591.7783155857,0.20201896,30221606.1156152,78.58537544,Earth
54216339,54216339,(2021 VN3),30.59,0.002025606,0.0045293927,False,2024-05-07,55587.8992983577,0.4489001577,67154507.4345841,174.6221613453,Earth
54278257,54278257,(2022 JY),23.65,0.0494942761,0.1106725658,False,2024-05-07,73847.597704429,0.3623628609,54208712.157746285,140.9591528901,Earth
54432215,54432215,(2024 FY3),23.58,0.0511157782,0.1142983547,False,2024-05-07,32942.4870410743,0.108911059,16292862.44584433,42.366401951,Earth
54439717,54439717,(2024 JR1),27.74,0.0075258399,0.0168282897,False,2024-05-07,46952.973893839,0.0019755179,295533.269986873,0.7684764631,Earth
54439999,54439999,(2024 JO2),27.99,0.0067074119,0.0149982289,False,2024-05-07,51768.8451154764,0.004353617,651291.82999579,1.693557013,Earth
54440651,54440651,(2024 JE6),25.14,0.0249203981,0.0557237043,False,2024-05-07,51839.4685921434,0.0819340174,12257154.483582938,31.8723327686,Earth
54441075,54441075,(2024 JX6),24.69,0.0306587876,0.0685551332,False,2024-05-07,41609.7702383458,0.148930231,22279645.33620797,57.933859859,Earth
